StudentID,StudentName,Gender,Course,Attendance,StudyHours,PreviousMarks,AssignmentScore,FinalMarks,Result
7,Gaurav,Male,BCA,97,5,88,19,89,Pass
14,Aarti,Female,BCA,90,5,90,19,89,Pass
2,Priya,Female,BCA,92,5,82,19,88,Pass
23,Nitin,Male,BCA,85,5,87,19,88,Pass
1,Rahul,Male,BCA,85,4,70,18,78,Pass
13,Nitin,Male,BCA,79,5,82,16,78,Pass
22,Ritu,Female,BCA,91,4,82,14,77,Pass
6,Rahul,Male,BCA,97,3,80,13,75,Pass
28,Shweta,Female,BCA,91,3,76,14,74,Pass
15,Rahul,Male,BCA,92,2,74,11,73,Pass
18,Sunny,Male,BCA,90,2,78,13,73,Pass
10,Deepak,Male,BCA,87,3,74,12,73,Pass
